Assembly Accession	Assembly Name	Annotation Release Date
GCF_000364385.3	ASM36438v3	2025-05-22
GCF_000739495.1	ASM73949v1	2025-01-05
GCF_000764615.1	ASM76461v1	2025-01-05
GCF_000775955.1	ASM77595v1	2025-01-05
GCF_000814305.1	ASM81430v1	2025-01-05
GCF_000968155.1	ASM96815v1	2025-01-05
GCF_001022035.1	ASM102203v1	2025-01-05
GCF_001022175.1	ASM102217v1	2025-01-05
GCF_001022235.1	ASM102223v1	2025-01-05
GCF_001185665.2	ASM118566v3	2025-03-10
GCF_001307175.1	ASM130717v1	2025-03-23
GCF_001455995.1	MS6671.v1	2025-08-18
GCF_001456055.3	ASM145605v3	2025-01-05
GCF_001456095.3	ASM145609v3	2025-01-05
GCF_001456135.1	ASM145613v1	2025-03-23
GCF_001482345.1	ASM148234v1	2025-03-23
GCF_001644765.1	ASM164476v1	2025-01-05
GCF_001646625.1	ASM164662v1	2025-01-05
GCF_001648215.1	ASM164821v1	2025-01-05
GCF_001663195.1	ASM166319v1	2025-01-05
GCF_001663295.1	ASM166329v1	2025-01-05
GCF_001663435.1	ASM166343v1	2025-01-05
GCF_001663455.1	ASM166345v1	2025-03-23
GCF_001675125.1	ASM167512v1	2025-02-26
GCF_001676825.1	ASM167682v1	2025-03-23
GCF_001699105.2	ASM169910v2	2025-02-26
GCF_001701425.2	ASM170142v2	2025-05-23
GCF_001701835.2	ASM170183v2	2025-01-05
GCF_001701845.2	ASM170184v2	2025-01-05
GCF_001702045.2	ASM170204v2	2025-01-05
GCF_001704235.1	ASM170423v1	2025-03-23
GCF_001705385.1	ASM170538v1	2025-03-23
GCF_001708225.1	ASM170822v1	2025-03-23
GCF_001708245.1	ASM170824v1	2025-03-23
GCF_001709275.1	ASM170927v1	2025-03-23
GCF_001709295.1	ASM170929v1	2025-01-05
GCF_001718115.2	ASM171811v2	2025-01-06
GCF_001721725.1	ASM172172v1	2025-03-23
GCF_001741545.1	ASM174154v1	2025-03-23
GCF_001741665.1	ASM174166v1	2025-03-23
GCF_001855315.1	ASM185531v1	2025-03-23
GCF_001870165.1	ASM187016v1	2025-03-23
GCF_001885255.2	ASM188525v2	2025-03-23
GCF_001887985.4	ASM188798v4	2025-06-29
GCF_001887995.2	ASM188799v2	2025-01-05
GCF_001902195.1	ASM190219v1	2025-01-05
GCF_001902215.1	ASM190221v1	2025-02-19
GCF_001902235.1	ASM190223v1	2025-01-05
GCF_001902255.1	ASM190225v1	2025-01-05
GCF_001902335.1	ASM190233v1	2025-03-23
GCF_001902355.1	ASM190235v1	2025-03-23
GCF_001902415.1	ASM190241v1	2025-03-23
GCF_001902435.1	ASM190243v1	2025-03-23
GCF_001902475.1	ASM190247v1	2025-01-05
GCF_001902515.1	ASM190251v1	2025-03-23
GCF_001908515.1	ASM190851v1	2025-01-05
GCF_001908595.1	ASM190859v1	2025-03-23
GCF_001908625.1	ASM190862v1	2025-03-23
GCF_001908655.1	ASM190865v1	2025-03-23
GCF_001908675.1	ASM190867v1	2025-03-23
GCF_001908695.1	ASM190869v1	2025-03-23
GCF_001908875.1	ASM190887v1	2025-03-23
GCF_001908895.1	ASM190889v1	2025-03-23
GCF_001913175.1	ASM191317v1	2025-03-23
GCF_001922465.1	ASM192246v1	2025-01-05
GCF_001936035.1	ASM193603v1	2025-03-23
GCF_001939885.2	ASM193988v2	2025-05-26
GCF_001952835.1	ASM195283v1	2025-03-23
GCF_001952875.1	ASM195287v1	2025-03-23
GCF_001952895.1	ASM195289v1	2025-03-23
GCF_001952915.1	ASM195291v1	2025-03-23
GCF_001956965.1	ASM195696v1	2025-03-24
GCF_002055765.1	ASM205576v1	2025-01-05
GCF_002055855.1	ASM205585v1	2025-01-05
GCF_002056385.1	ASM205638v1	2025-01-05
GCF_002056475.1	ASM205647v1	2025-01-05
GCF_002113865.1	ASM211386v1	2025-01-05
GCF_002116885.1	ASM211688v1	2025-03-23
GCF_002156725.1	ASM215672v1	2025-01-05
GCF_002156745.1	ASM215674v1	2025-01-05
GCF_002156785.1	ASM215678v1	2025-01-05
GCF_002164695.2	ASM216469v2	2025-06-08
GCF_002164835.4	ASM216483v4	2025-02-26
GCF_002164855.2	ASM216485v2	2025-01-05
GCF_002180075.1	ASM218007v1	2025-01-05
GCF_002180155.1	ASM218015v1	2025-01-05
GCF_002180175.1	ASM218017v1	2025-01-05
GCF_002180255.1	ASM218025v1	2025-01-05
GCF_002180295.1	ASM218029v1	2025-01-05
GCF_002180315.1	ASM218031v1	2025-01-05
GCF_002192315.1	ASM219231v1	2025-01-05
GCF_002192335.1	ASM219233v1	2025-01-05
GCF_002192375.1	ASM219237v1	2025-01-05
GCF_002197225.1	ASM219722v1	2025-01-05
GCF_002197505.1	ASM219750v1	2025-01-05
GCF_002202195.1	ASM220219v1	2025-01-05
GCF_002202215.1	ASM220221v1	2025-01-05
