Assembly Accession	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Host disease
GCF_000814305.1	USA	2011	bodily fluid	Homo sapiens	pneumonia
GCF_001022235.1	USA:Virginia	2012-04	Perirectal	Homo sapiens	not applicable
GCF_001675125.1	USA	2013			
GCF_001701845.2	Greece: Athens	2012-11-29	stool	Homo sapiens	missing
GCF_001702045.2	Greece: Athens	2012-03-12	urine	Homo sapiens	missing
GCF_001708225.1	Taiwan	2006	blood	Homo sapiens	
GCF_001708245.1	Taiwan	2006	blood	Homo sapiens	
GCF_001902335.1	Germany: Goettingen	2014-07-21	wound swab	Homo sapiens	wound (hand)
GCF_003288375.1	missing	missing	missing	missing	missing
GCF_003953905.1	China	2014		Homo sapiens	
GCF_004118955.1	China:Nanchang	2017-07-04	blood		
GCF_004295405.1	India	2017	blood	Homo sapiens	Bacteremia
GCF_004924315.1	USA: MN	2016-06	urine	Homo sapiens	urinary tract infection
GCF_008121515.1	USA: Pittsburgh, Pennsylvania	2016	not collected	Homo sapiens	not collected
GCF_009497695.1	China	2009		Homo sapiens	
GCF_012029945.2	USA: Chicago, IL	unknown	unknown	Homo sapiens	unknown
GCF_012029975.2	USA: Chicago, IL	unknown	unknown	Homo sapiens	unknown
GCF_013305305.1	USA	2013	blood	Homo sapiens	Not applicable
GCF_015074925.1	Russia:Moscow	2014-02	Postoperative wound	Homo sapiens	Sepsis
GCF_015284665.1	China:Tangshan	2019-02-22	Human fecal samples		
GCF_015290985.1	China:Qingdao	2017-03	sputum	Homo sapiens	pneumonia
GCF_015355835.1	China:Nanchang	2018/2019	blood		
GCF_015355855.1	China:Nanchang	2018/2019	blood		
GCF_016772535.1	USA	2017/2018	not applicable	Homo sapiens	not applicable
GCF_016772555.1	USA	2013	blood	Homo sapiens	not applicable
GCF_016772575.1	USA	2013	blood	Homo sapiens	not applicable
GCF_016772595.1	USA	2013	blood	Homo sapiens	not applicable
GCF_016801375.1	Colombia: Bogota	2015-04-11	blood	Homo sapiens	Bacteremia
GCF_016903495.1	USA:WA	Unknown	missing	Homo sapiens	Unknown
GCF_017743095.1	China:Zhanjiang	2020-11-15T16:41:17Z	sputum	Homo sapiens	
