Gene,Annotation,st258_freq,st23_freq
yjcS_2~~~yjcS_1,Putative alkyl/aryl-sulfatase YjcS,0.2,0.9333333333333333
iprA_3~~~iprA_4~~~iprA_2,Inhibitor of hydrogen peroxide resistance,0.2,0.9333333333333333
yjcS_1~~~yjcS_2,Putative alkyl/aryl-sulfatase YjcS,0.2,0.9333333333333333
group_3898,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,0.2,0.9333333333333333
group_3802,hypothetical protein,0.13333333333333333,1.0
manC1,Mannose-1-phosphate guanylyltransferase 1;hypothetical protein,0.13333333333333333,1.0
group_2594,hypothetical protein,0.2,0.9333333333333333
algC,Phosphomannomutase/phosphoglucomutase,0.13333333333333333,1.0
group_4315,hypothetical protein,0.2,0.8666666666666667
group_1150,hypothetical protein,0.13333333333333333,0.9333333333333333
group_4008,hypothetical protein,0.0,1.0
group_3796,IS66 family transposase ISKox1,0.06666666666666667,0.9333333333333333
group_3795,hypothetical protein,0.06666666666666667,0.9333333333333333
group_3654,hypothetical protein;IS5 family transposase IS4811,0.0,1.0
frwD,PTS system fructose-like EIIB component 3,0.0,1.0
group_3598,hypothetical protein,0.0,1.0
group_3470,hypothetical protein,0.06666666666666667,0.9333333333333333
tktA_1,Transketolase 1,0.0,1.0
group_3087,hypothetical protein,0.0,1.0
group_2941,hypothetical protein,0.0,1.0
chbA_3,PTS system NN'-diacetylchitobiose-specific EIIA component,0.0,1.0
group_2284,PTS system fructose-specific EIIB'BC component,0.0,1.0
srlB_2,PTS system glucitol/sorbitol-specific EIIA component,0.0,1.0
uspG_2,Universal stress protein UP12,0.0,1.0
derI,D-erythrulose-4-phosphate isomerase,0.0,1.0
pepE,Peptidase E,0.0,1.0
ydfG_2,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,0.0,1.0
group_994,hypothetical protein,0.0,1.0
eryH,L-erythrulose-1-phosphate isomerase,0.0,1.0
group_885,HTH-type transcriptional activator RhaR,0.0,1.0
cutD_2,Choline trimethylamine-lyase activating enzyme,0.0,1.0
group_730,hypothetical protein,0.0,1.0
talB_2,Transaldolase B,0.0,1.0
sorC_3,Sorbitol operon regulator,0.0,1.0
pdxA2_1,D-erythronate 4-phosphate dehydrogenase,0.0,1.0
kdgT,2-keto-3-deoxygluconate permease,0.0,1.0
manP_1,PTS system mannose-specific EIIBCA component,0.0,1.0
group_506,Multidrug resistance protein MdtA,0.0,1.0
group_163,hypothetical protein,0.0,1.0
cutC_1,Choline trimethylamine-lyase,0.0,1.0
fryA,Multiphosphoryl transfer protein 1,0.0,1.0
bepE,Efflux pump membrane transporter BepE,0.0,1.0
group_4318,hypothetical protein,0.0,0.9333333333333333
group_4171,hypothetical protein,0.0,0.9333333333333333
lspA_2,Lipoprotein signal peptidase,0.0,0.9333333333333333
group_4089,hypothetical protein,0.0,0.9333333333333333
group_4086,hypothetical protein,0.0,0.9333333333333333
yceC_1~~~yceC,Stress response protein SCP2,0.0,0.9333333333333333
group_4085,hypothetical protein,0.0,0.9333333333333333
group_4073,hypothetical protein,0.0,0.9333333333333333
group_4007,hypothetical protein,0.0,0.9333333333333333
sdcS,Sodium-dependent dicarboxylate transporter SdcS,0.0,0.9333333333333333
group_3891,hypothetical protein,0.0,0.9333333333333333
group_3882,hypothetical protein,0.0,0.9333333333333333
group_3844,hypothetical protein,0.0,0.9333333333333333
hns_3~~~hns_2,DNA-binding protein H-NS,0.0,0.9333333333333333
group_3826,hypothetical protein;Alpha-L-rhamnosidase,0.0,0.9333333333333333
pifC_2~~~pifC_1~~~pifC,Transcriptional repressor PifC,0.0,0.9333333333333333
cadA_2~~~kdpB_2,putative cadmium-transporting ATPase;Potassium-transporting ATPase ATP-binding subunit,0.0,0.9333333333333333
group_3819,Sensor histidine kinase RcsC,0.0,0.9333333333333333
lacZ_1,hypothetical protein;Beta-galactosidase,0.0,0.9333333333333333
group_3813,hypothetical protein,0.0,0.9333333333333333
licC_2~~~licC_1~~~licC_4~~~licC_3,Lichenan permease IIC component,0.0,0.9333333333333333
arcA_1~~~rssB_1,Aerobic respiration control protein ArcA;hypothetical protein;Regulator of RpoS,0.0,0.9333333333333333
celA_1~~~celA_3,PTS system cellobiose-specific EIIB component,0.0,0.9333333333333333
group_3807,hypothetical protein,0.0,0.9333333333333333
group_3798,hypothetical protein,0.0,0.9333333333333333
group_3794,hypothetical protein,0.0,0.9333333333333333
group_3778,hypothetical protein,0.0,0.9333333333333333
group_3777,Chromosome-partitioning ATPase Soj;hypothetical protein,0.0,0.9333333333333333
group_3764,hypothetical protein,0.0,0.9333333333333333
fepA_3~~~pfeA_2,Ferrienterobactin receptor;Ferric enterobactin receptor,0.0,0.9333333333333333
group_3751,hypothetical protein,0.0,0.9333333333333333
yciC_1~~~yciC_6~~~yciC_3,Putative metal chaperone YciC,0.0,0.9333333333333333
topB_2~~~topB_1,hypothetical protein;DNA topoisomerase 3,0.0,0.9333333333333333
group_3713,hypothetical protein,0.0,0.9333333333333333
group_3712,hypothetical protein;IS5 family transposase IS903,0.0,0.9333333333333333
group_3707,hypothetical protein,0.0,0.9333333333333333
group_3692,3'-5' exonuclease DinG,0.0,0.9333333333333333
group_3669,hypothetical protein,0.0,0.9333333333333333
glxR_2~~~glxR_1~~~glxR,2-hydroxy-3-oxopropionate reductase,0.0,0.9333333333333333
group_3640,hypothetical protein;IS5 family transposase IS903,0.0,0.9333333333333333
group_3628,hypothetical protein,0.0,0.9333333333333333
group_3623,hypothetical protein,0.0,0.9333333333333333
group_3610,hypothetical protein;IS110 family transposase IS1663,0.0,0.9333333333333333
rapA_2~~~rapA_1,RNA polymerase-associated protein RapA,0.0,0.9333333333333333
group_3583,hypothetical protein,0.0,0.9333333333333333
group_3574,hypothetical protein,0.0,0.9333333333333333
group_3573,hypothetical protein,0.0,0.9333333333333333
group_3564,hypothetical protein,0.0,0.9333333333333333
allD,Ureidoglycolate dehydrogenase (NAD(+)),0.0,0.9333333333333333
iucC,Aerobactin synthase,0.0,0.9333333333333333
aes,Acetyl esterase,0.0,0.9333333333333333
group_3514,hypothetical protein,0.0,0.9333333333333333
group_3508,hypothetical protein,0.0,0.9333333333333333
group_3487,hypothetical protein,0.0,0.9333333333333333
group_3486,hypothetical protein,0.0,0.9333333333333333
yceD_4,General stress protein 16U,0.0,0.9333333333333333
group_3485,General stress protein 16U,0.0,0.9333333333333333
group_3484,Putative membrane-bound redox modulator Alx,0.0,0.9333333333333333
group_3483,hypothetical protein,0.0,0.9333333333333333
group_3482,hypothetical protein,0.0,0.9333333333333333
group_3481,hypothetical protein,0.0,0.9333333333333333
stiP,Cysteine protease StiP,0.0,0.9333333333333333
group_3480,hypothetical protein,0.0,0.9333333333333333
group_3479,General stress protein 16U,0.0,0.9333333333333333
group_3478,hypothetical protein,0.0,0.9333333333333333
group_3477,hypothetical protein,0.0,0.9333333333333333
group_3475,hypothetical protein,0.0,0.9333333333333333
group_3474,hypothetical protein,0.0,0.9333333333333333
group_3473,hypothetical protein,0.0,0.9333333333333333
group_3472,hypothetical protein,0.0,0.9333333333333333
group_3471,hypothetical protein,0.0,0.9333333333333333
group_3469,IS21 family transposase ISSen8,0.0,0.9333333333333333
group_3393,hypothetical protein,0.0,0.9333333333333333
group_3122,hypothetical protein,0.0,0.9333333333333333
group_3081,hypothetical protein,0.0,0.9333333333333333
group_3074,hypothetical protein,0.0,0.9333333333333333
group_3073,hypothetical protein,0.0,0.9333333333333333
group_3063,hypothetical protein,0.0,0.9333333333333333
group_3052,hypothetical protein,0.0,0.9333333333333333
group_3043,hypothetical protein,0.0,0.9333333333333333
group_3022,hypothetical protein,0.0,0.9333333333333333
group_2958,IS3 family transposase IS2,0.0,0.9333333333333333
group_2957,hypothetical protein,0.0,0.9333333333333333
group_2942,hypothetical protein,0.0,0.9333333333333333
group_2936,hypothetical protein,0.0,0.9333333333333333
group_2880,hypothetical protein,0.0,0.9333333333333333
group_2879,hypothetical protein,0.0,0.9333333333333333
group_2823,hypothetical protein,0.0,0.9333333333333333
group_2821,IS3 family transposase IS1400,0.0,0.9333333333333333
group_2767,hypothetical protein,0.0,0.9333333333333333
group_2749,hypothetical protein,0.0,0.9333333333333333
group_2702,hypothetical protein,0.0,0.9333333333333333
group_2673,hypothetical protein,0.0,0.9333333333333333
group_2585,hypothetical protein,0.0,0.9333333333333333
group_2570,hypothetical protein,0.0,0.9333333333333333
group_2555,IS3 family transposase IS1222,0.0,0.9333333333333333
group_2539,IS3 family transposase IS1400,0.0,0.9333333333333333
group_2538,IS3 family transposase ISYpe1,0.0,0.9333333333333333
group_2505,IS1 family transposase IS1N,0.0,0.9333333333333333
group_2497,hypothetical protein,0.0,0.9333333333333333
group_2496,hypothetical protein,0.0,0.9333333333333333
group_2438,hypothetical protein,0.0,0.9333333333333333
group_2425,hypothetical protein,0.0,0.9333333333333333
group_2400,hypothetical protein,0.0,0.9333333333333333
group_2382,hypothetical protein,0.0,0.9333333333333333
group_2300,hypothetical protein,0.0,0.9333333333333333
group_2270,hypothetical protein,0.0,0.9333333333333333
group_2214,hypothetical protein,0.0,0.9333333333333333
group_2204,hypothetical protein,0.0,0.9333333333333333
group_2194,Putative anti-sigma factor antagonist,0.0,0.9333333333333333
group_2159,hypothetical protein,0.0,0.9333333333333333
intS_1,Prophage integrase IntS,0.0,0.9333333333333333
group_2077,IS3 family transposase ISSen4,0.0,0.9333333333333333
group_2076,putative protein,0.0,0.9333333333333333
group_2055,IS256 family transposase ISSod4,0.0,0.9333333333333333
group_2027,hypothetical protein,0.0,0.9333333333333333
group_2026,hypothetical protein,0.0,0.9333333333333333
group_2015,hypothetical protein,0.0,0.9333333333333333
group_1923,hypothetical protein,0.0,0.9333333333333333
group_1910,hypothetical protein,0.0,0.9333333333333333
group_1889,hypothetical protein,0.0,0.9333333333333333
group_1877,hypothetical protein,0.0,0.9333333333333333
group_1866,hypothetical protein,0.0,0.9333333333333333
merR1,Mercuric resistance operon regulatory protein,0.0,0.9333333333333333
group_1851,hypothetical protein,0.0,0.9333333333333333
group_1835,hypothetical protein,0.0,0.9333333333333333
vapC_2,tRNA(fMet)-specific endonuclease VapC,0.0,0.9333333333333333
group_1823,hypothetical protein,0.0,0.9333333333333333
group_1822,hypothetical protein,0.0,0.9333333333333333
group_1772,hypothetical protein,0.0,0.9333333333333333
gmm,GDP-mannose mannosyl hydrolase,0.0,0.9333333333333333
decR_2,DNA-binding transcriptional activator DecR,0.0,0.9333333333333333
group_1751,hypothetical protein,0.0,0.9333333333333333
group_1742,IS3 family transposase ISYps8,0.0,0.9333333333333333
ibpB_1,Small heat shock protein IbpB,0.0,0.9333333333333333
group_1738,hypothetical protein,0.0,0.9333333333333333
group_1737,hypothetical protein,0.0,0.9333333333333333
group_1693,hypothetical protein,0.0,0.9333333333333333
allA,Ureidoglycolate lyase,0.0,0.9333333333333333
group_1664,hypothetical protein,0.0,0.9333333333333333
group_1663,hypothetical protein,0.0,0.9333333333333333
