accession	sequence_type	country	year	isolation_source	host_disease
GCF_000814305.1	ST258	USA	2011	bodily fluid	pneumonia
GCF_001022235.1	ST258	USA	2012-04	Perirectal	not applicable
GCF_003288375.1	ST258	missing	missing	missing	missing
GCF_003953905.1	ST23	China	2014		
GCF_004118955.1	ST23	China	2017-07-04	blood	
GCF_004295405.1	ST23	India	2017	blood	Bacteremia
GCF_004924315.1	ST23	USA	2016-06	urine	urinary tract infection
GCF_008121515.1	ST258	USA	2016	not collected	not collected
GCF_009497695.1	ST23	China	2009		
GCF_012029945.2	ST258	USA	unknown	unknown	unknown
GCF_012029975.2	ST258	USA	unknown	unknown	unknown
GCF_001675125.1	ST258	USA	2013		
GCF_001701845.2	ST258	Greece	2012-11-29	stool	missing
GCF_001702045.2	ST258	Greece	2012-03-12	urine	missing
GCF_001708225.1	ST23	Taiwan	2006	blood	
GCF_001708245.1	ST23	Taiwan	2006	blood	
GCF_013305305.1	ST258	USA	2013	blood	Not applicable
GCF_015074925.1	ST23	Russia	2014-02	Postoperative wound	Sepsis
GCF_015284665.1	ST23	China	2019-02-22	Human fecal samples	
GCF_015290985.1	ST23	China	2017-03	sputum	pneumonia
GCF_015355835.1	ST23	China	2018/2019	blood	
GCF_015355855.1	ST23	China	2018/2019	blood	
GCF_016772535.1	ST258	USA	2017/2018	not applicable	not applicable
GCF_016772555.1	ST258	USA	2013	blood	not applicable
GCF_016772575.1	ST258	USA	2013	blood	not applicable
GCF_016772595.1	ST258	USA	2013	blood	not applicable
GCF_016801375.1	ST258	Colombia	2015-04-11	blood	Bacteremia
GCF_016903495.1	ST23	USA	Unknown	missing	Unknown
GCF_001902335.1	ST23	Germany	2014-07-21	wound swab	wound (hand)
GCF_017743095.1	ST23	China	2020-11-15T16:41:17Z	sputum	
